Период уплаты премии;Возраст Застрахованного;Пол;Смерть ЛП;Инвалидность 1,2. гр. ЛП;Смерть НС;Смерть ДТП;Травма;"КЗ РФ
Взнос";"КЗ Зарубеж
Взнос";i
4;50;m;0,61269%;0,21255%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;51;m;0,65429%;0,23152%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;52;m;0,69847%;0,25132%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;53;m;0,74524%;0,27188%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;54;m;0,79443%;0,29343%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;55;m;0,84598%;0,31607%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;56;m;0,90000%;0,34030%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;57;m;0,95721%;0,36641%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;58;m;1,01801%;0,39455%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;59;m;1,08257%;0,42505%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;60;m;1,15100%;0,45778%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;61;m;1,22373%;0,49284%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;62;m;1,30150%;0,50951%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;63;m;1,38446%;0,52597%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;64;m;1,47236%;0,54228%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;65;m;1,56503%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
4;66;m;1,66289%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
4;67;m;1,76759%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
4;68;m;1,76198%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
4;69;m;1,74440%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
4;70;m;1,71225%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
